id_jugador,nombre,anio,camiseta,posicion,jugo,jugo_titular,capitan,no_jugo,goles,prom_goles,tarjeta_amarilla,tarjeta_roja,pg,pe,pp,pos_final
4621,Anton Pfeffer,1998,4,Defensor,3,3,0,0,0,0.0,1,0,0,2,1,23
4622,Heimo Pfeifenberger,1990,17,Delantero,0,0,0,3,0,0.0,0,0,0,0,0,18
4622,Heimo Pfeifenberger,1998,8,Mediocampista,3,3,0,0,0,0.0,0,0,0,2,1,23
4623,Andy Pichler,1982,12,Mediocampista,1,1,0,4,0,0.0,1,0,0,1,0,8
4624,Hans Pirkner,1978,19,Delantero,2,0,0,4,0,0.0,0,0,1,0,1,7
4625,Peter Platzer,1934,-,Arquero,4,4,0,0,0,0.0,0,0,2,0,2,4
4626,Toni Polster,1990,9,Delantero,3,3,3,0,0,0.0,0,0,1,0,2,18
4626,Toni Polster,1998,19,Delantero,3,3,3,0,1,0.33,0,0,0,2,1,23
4627,Johann Pregesbauer,1982,17,Defensor,1,1,0,4,0,0.0,0,0,0,1,0,8
4628,Erich Probst,1954,10,Delantero,5,5,0,0,6,1.2,0,0,4,0,1,3
4629,Herbert Prohaska,1978,8,Mediocampista,6,6,0,0,0,0.0,1,0,3,0,3,7
4629,Herbert Prohaska,1982,8,Mediocampista,5,5,0,0,0,0.0,0,0,2,1,2,8
4630,Ignaz Puschnik,1958,21,Mediocampista,0,0,0,3,0,0.0,0,0,0,0,0,15
4632,Hannes Reinmayr,1998,14,Delantero,1,1,0,2,0,0.0,1,0,0,0,1,23
4633,Andreas Reisinger,1990,16,Mediocampista,1,0,0,2,0,0.0,1,0,1,0,0,18
4634,Johann Riegler,1954,18,Mediocampista,0,0,0,5,0,0.0,0,0,0,0,0,3
4635,Gerhard Rodax,1990,14,Delantero,2,2,0,1,1,0.5,0,0,1,0,1,18
4636,Kurt Russ,1990,7,Defensor,2,2,0,1,0,0.0,0,0,0,0,2,18
4637,Robert Sara,1978,2,Defensor,6,6,6,0,0,0.0,1,0,3,0,3,7
4638,Walter Schachner,1978,18,Delantero,3,3,0,3,1,0.33,0,0,2,0,1,7
4638,Walter Schachner,1982,7,Delantero,5,5,0,0,2,0.4,1,0,2,1,2,8
4639,Toni Schall,1934,-,Delantero,2,2,0,2,1,0.5,0,0,1,0,1,4
4640,Walter Schleger,1954,8,Delantero,2,2,0,3,0,0.0,0,0,1,0,1,3
4640,Walter Schleger,1958,13,Delantero,1,1,0,2,0,0.0,0,0,0,0,1,15
4641,Willi Schmaus,1934,-,Defensor,0,0,0,4,0,0.0,0,0,0,0,0,4
4642,Kurt Schmied,1954,1,Arquero,4,4,1,1,0,0.0,0,0,4,0,0,3
4642,Kurt Schmied,1958,12,Arquero,1,1,0,2,0,0.0,0,0,0,0,1,15
4643,Peter Schoettel,1990,5,Defensor,2,2,0,1,0,0.0,0,0,0,0,2,18
4643,Peter Schoettel,1998,3,Defensor,3,3,0,0,0,0.0,2,0,0,2,1,23
4644,Markus Schopp,1998,2,Mediocampista,1,0,0,2,0,0.0,0,0,0,1,0,23
4645,Helmut Senekowitsch,1958,11,Delantero,3,3,0,0,0,0.0,0,0,0,1,2,15
4646,Karl Sesta,1934,-,Defensor,4,4,0,0,1,0.25,0,0,2,0,2,4
4647,Matthias Sindelar,1934,-,Delantero,3,3,0,1,1,0.33,0,0,2,0,1,4
4648,Josef Smistik,1934,-,Mediocampista,4,4,2,0,0,0.0,0,0,2,0,2,4
4649,Peter Stoeger,1998,18,Mediocampista,2,0,0,1,0,0.0,0,0,0,1,1,23
4650,Ernst Stojaspal,1954,21,Delantero,4,4,0,1,3,0.75,0,0,3,0,1,3
4651,Karl Stotz,1954,12,Mediocampista,0,0,0,5,0,0.0,0,0,0,0,0,3
4651,Karl Stotz,1958,16,Mediocampista,1,1,0,2,0,0.0,0,0,0,0,1,15
4652,Heinrich Strasser,1978,14,Defensor,2,2,0,4,0,0.0,0,0,1,0,1,7
4653,Michael Streiter,1990,18,Defensor,3,2,0,0,0,0.0,0,0,1,0,2,18
4655,Franz Swoboda,1958,4,Defensor,3,3,0,0,0,0.0,0,0,0,1,2,15
4656,Rudolf Szanwald,1958,1,Arquero,2,2,0,1,0,0.0,0,0,0,1,1,15
4657,Alfred Teinitzer,1954,17,Mediocampista,0,0,0,5,0,0.0,0,0,0,0,0,3
4658,Hans Urbanek,1934,-,Mediocampista,4,4,0,0,0,0.0,0,0,2,0,2,4
4659,Ivica Vastic,1998,9,Delantero,3,1,0,0,1,0.33,1,0,0,2,1,23
4660,Rudi Viertl,1934,-,Delantero,4,4,0,0,0,0.0,0,0,2,0,2,4
4662,Theodor Wagner,1954,9,Delantero,4,4,0,1,3,0.75,0,0,3,0,1,3
4663,Johann Walzhofer,1934,-,Delantero,0,0,0,4,0,0.0,0,0,0,0,0,4
4664,Heribert Weber,1978,15,Defensor,3,0,0,3,0,0.0,0,0,2,0,1,7
4664,Heribert Weber,1982,19,Defensor,3,2,0,2,0,0.0,0,0,2,0,1,8
4665,Kurt Welzl,1982,20,Delantero,3,0,0,2,0,0.0,0,0,1,1,1,8
4666,Arnold Wetl,1998,15,Mediocampista,3,3,0,0,0,0.0,0,0,0,2,1,23
4667,Franz Wohlfahrt,1998,16,Arquero,0,0,0,3,0,0.0,0,0,0,0,0,23
4668,Walter Zeman,1954,16,Arquero,1,1,0,4,0,0.0,0,0,0,0,1,3
4669,Karl Zischek,1934,-,Delantero,4,4,0,0,1,0.25,0,0,2,0,2,4
4670,Manfred Zsak,1990,6,Mediocampista,3,2,0,0,0,0.0,2,0,1,0,2,18
4671,Dorst,1938,-,Defensor,0,0,0,1,0,0.0,0,0,0,0,0,15
4672,G. Faulhaber,1938,-,Mediocampista,0,0,0,1,0,0.0,0,0,0,0,0,15
