jugador,seleccion_nacionalidad,mundial,camiseta,posicion,jugo,jugo_titular,capitan,no_jugo,goles,prom_goles,tarjeta_amarilla,tarjeta_roja,pg,pe,pp,pos_final
Salem Al-Dawsari,Arabia Saudita,2022,10,Delantero,3,3,2,0,2,0.67,1,0,1,0,2,25
Salem Al-Hajri,Catar,2022,20,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,32
Salif Diao,Senegal,2002,15,Mediocampista,3,3,0,2,1,0.33,1,1,1,1,1,7
Salif Sané,Senegal,2018,6,Mediocampista,3,3,0,0,0,0.00,1,0,1,1,1,17
Salis Abdul Samed,Ghana,2022,21,Mediocampista,3,3,0,0,0,0.00,0,0,1,0,2,24
Salman Al-Faraj,Arabia Saudita,2018,7,Mediocampista,3,3,0,0,1,0.33,0,0,1,0,2,26
Salman Al-Faraj,Arabia Saudita,2022,7,Mediocampista,1,1,1,2,0,0.00,0,0,1,0,0,25
Salomon Kalou,Costa de Marfil,2010,8,Delantero,3,2,0,0,1,0.33,0,0,1,1,1,17
Salomon Kalou,Costa de Marfil,2014,8,Delantero,3,2,0,0,0,0.00,1,0,1,0,2,21
Salomon Olembe,Camerún,1998,20,Mediocampista,3,2,0,0,0,0.00,0,0,0,2,1,25
Salomon Olembe,Camerún,2002,20,Defensor,3,2,0,0,0,0.00,1,0,1,1,1,20
Salvador Cabañas,Paraguay,2006,7,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,18
Salvador Carmona,México,1998,18,Defensor,2,1,0,2,0,0.00,1,0,0,1,1,13
Salvador Carmona,México,2002,16,Defensor,4,4,0,0,0,0.00,1,0,2,1,1,11
Salvador Farfan,México,1962,16,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,11
Salvador Flamenco Cabezas,El Salvador,1970,10,Delantero,3,3,0,0,0,0.00,1,0,0,0,3,16
Salvador Flores,Paraguay,1930,-,Defensor,1,1,0,1,0,0.00,0,0,1,0,0,9
Salvador Mariona,El Salvador,1970,3,Defensor,3,3,3,0,0,0.00,1,0,0,0,3,16
Salvador Mota,México,1954,12,Arquero,1,1,0,1,0,0.00,0,0,0,0,1,13
