jugador,seleccion_nacionalidad,altura,fecha_nac,posicion,num_camiseta,mundiales
Alain Boghossian,Francia,1.85 m,27 de octubre de 1970,Mediocampista,14,"1998, 2002"
Alain Couriol,Francia,,24 de octubre de 1958,Delantero,16,1982
Alain Eyobo-Makongo,Camerún,,17 de octubre de 1961,Delantero,20,1982
Alain Geiger,Suiza,,5 de noviembre de 1960,Defensor,5,1994
Alain Giresse,Francia,,2 de septiembre de 1952,Mediocampista,12,"1982, 1986"
Alain Sutter,Suiza,,22 de enero de 1968,Mediocampista,7,1994
Alaixys Romao,Togo,1.80 m,18 de enero de 1984,Mediocampista,15,2006
Alan A'Court,Inglaterra,,30 de septiembre de 1934,Delantero,21,1958
Alan Ball,Inglaterra,,12 de mayo de 1945,Mediocampista,"7, 8","1966, 1970"
Alan Brazil,Escocia,,15 de junio de 1959,Delantero,9,1982
Alan Dzagoev,Rusia,1.79 m,17 de junio de 1990,Mediocampista,"10, 9","2014, 2018"
Alan Franco,Ecuador,1.75 m,21 de agosto de 1998,Mediocampista,21,2022
Alan Hansen,Escocia,,13 de junio de 1955,Defensor,5,1982
Alan Hodgkinson,Inglaterra,,16 de agosto de 1936,Arquero,"13, 12","1958, 1962"
Alan Kelly Jr.,Irlanda,1.89 m,11 de agosto de 1968,Arquero,"22, 23","1994, 2002"
Alan Kernaghan,Irlanda,,25 de abril de 1967,Defensor,13,1994
Alan Mcdonald,Irlanda del Norte,,12 de octubre de 1963,Defensor,5,1986
Alan Mcinally,Escocia,,10 de febrero de 1963,Delantero,14,1990
Alan Mcloughlin,Irlanda,,20 de abril de 1967,Mediocampista,"21, 19","1990, 1994"
Alan Mullery,Inglaterra,,23 de noviembre de 1941,Mediocampista,4,1970
Alan Peacock,Inglaterra,,29 de octubre de 1937,Delantero,19,1962
Alan Pulido,México,1.75 m,8 de marzo de 1991,Delantero,11,2014
Alan Rough,Escocia,,25 de noviembre de 1951,Arquero,"1, 22","1978, 1982, 1986"
Alan Shearer,Inglaterra,,13 de agosto de 1970,Delantero,9,1998
Alassane Ndour,Senegal,1.85 m,12 de diciembre de 1981,Defensor,5,2002
Alberigo Evani,Italia,,1 de enero de 1963,Mediocampista,17,1994
Albert Adomah,Ghana,1.85 m,13 de diciembre de 1987,Mediocampista,14,2014
Albert Bruells,Alemania Occidental,,26 de marzo de 1937,Mediocampista,"10, 7","1962, 1966"
Albert Buche,Suiza,,1 de enero de 1911,Delantero,-,1934
Albert Bunjaku,Suiza,1.78 m,29 de noviembre de 1983,Delantero,18,2010
Albert Celades,España,,29 de septiembre de 1975,Mediocampista,16,1998
Albert Ferrer,España,,6 de junio de 1970,Defensor,2,"1994, 1998"
Albert Gudmundsson,Islandia,1.77 m,15 de junio de 1997,Delantero,4,2018
Albert Guinchard,Suiza,,10 de noviembre de 1914,Mediocampista,-,"1934, 1938"
Albert Heremans,Bélgica,,13 de abril de 1906,Delantero,-,1934
Albert Luque,España,1.84 m,11 de marzo de 1978,Delantero,12,2002
Albert Nadj,Serbia y Montenegro,1.74 m,29 de octubre de 1974,Mediocampista,17,2006
Albert Quixall,Inglaterra,,9 de agosto de 1933,Delantero,16,1954
Albert Rust,Francia,,10 de octubre de 1953,Arquero,22,1986
Albert Shesternyov,URSS,,20 de junio de 1941,Defensor,"8, 6, 9","1962, 1966, 1970"
Alberto Acha,Bolivia,,3 de abril de 1920,Defensor,-,1950
Alberto Aquilani,Italia,1.86 m,7 de junio de 1984,Mediocampista,14,2014
Alberto Baeza,México,,6 de diciembre de 1938,Delantero,21,1962
Alberto Cardaccio,Uruguay,,26 de agosto de 1949,Mediocampista,16,1974
Alberto Chividini,Argentina,,23 de febrero de 1907,Defensor,-,1930
Alberto Denegri,Perú,,,Mediocampista,-,1930
