id_goleador,anio,id_seleccion,id_jugador,goles,partidos,promedio
665,1986,62,4329,2,4,0.5
666,1986,34,4881,2,4,0.5
667,1986,11,1671,2,3,0.67
668,1986,55,8375,2,4,0.5
669,1986,36,4002,2,4,0.5
670,1986,36,4012,2,6,0.33
671,1986,56,7831,2,5,0.4
672,1986,62,4416,2,4,0.5
673,1986,13,6690,2,7,0.29
674,1986,11,1805,2,5,0.4
675,1986,36,4045,2,6,0.33
676,1986,88,248,1,4,0.25
677,1986,80,5806,1,3,0.33
678,1986,36,3822,1,7,0.14
679,1986,44,1213,1,4,0.25
680,1986,88,263,1,2,0.5
681,1986,87,6066,1,5,0.2
682,1986,6,5197,1,7,0.14
683,1986,65,3207,1,3,0.33
684,1986,21,6948,1,2,0.5
685,1986,47,2235,1,3,0.33
686,1986,13,6605,1,7,0.14
687,1986,42,7515,1,3,0.33
688,1986,65,3222,1,3,0.33
689,1986,11,1610,1,5,0.2
690,1986,34,4914,1,3,0.33
691,1986,26,4211,1,2,0.5
692,1986,42,7519,1,3,0.33
693,1986,36,3912,1,6,0.17
694,1986,36,3913,1,4,0.25
695,1986,56,7719,1,3,0.33
696,1986,80,5874,1,4,0.25
697,1986,36,3918,1,1,1.0
698,1986,12,2936,1,4,0.25
699,1986,34,4933,1,4,0.25
700,1986,21,6973,1,3,0.33
701,1986,34,4959,1,5,0.2
702,1986,21,7008,1,2,0.5
703,1986,55,8377,1,4,0.25
704,1986,26,4243,1,4,0.25
705,1986,26,4247,1,4,0.25
706,1986,87,6212,1,7,0.14
707,1986,56,7804,1,5,0.2
708,1986,21,7071,1,3,0.33
709,1986,6,5349,1,2,0.5
710,1986,45,1187,1,3,0.33
711,1986,88,380,1,3,0.33
712,1986,36,4025,1,4,0.25
713,1986,88,381,1,4,0.25
714,1986,6,5390,1,7,0.14
715,1986,87,6265,1,7,0.14
716,1986,56,7864,1,4,0.25
717,1986,34,5064,1,4,0.25
718,1986,56,7870,1,5,0.2
719,1986,12,2998,1,4,0.25
720,1986,64,3156,1,4,0.25
721,1986,31,2408,1,3,0.33
722,1986,36,4053,1,7,0.14
723,1986,13,6731,1,1,1.0
724,1986,13,6738,1,6,0.17
725,1986,13,6750,1,5,0.2
726,1986,47,2278,1,3,0.33
727,1986,88,418,1,3,0.33
728,1986,88,419,1,3,0.33
729,1986,88,427,1,4,0.25
730,1986,5,6901,1,3,0.33
731,1990,51,5758,6,7,0.86
732,1990,86,576,5,5,1.0
733,1990,44,1325,4,7,0.57
734,1990,87,6212,4,7,0.57
735,1990,34,4989,4,4,1.0
736,1990,14,936,4,5,0.8
737,1990,87,6066,3,6,0.5
738,1990,87,6174,3,7,0.43
739,1990,44,1368,3,6,0.5
740,1990,87,6306,3,6,0.5
741,1990,51,5533,2,5,0.4
742,1990,68,1851,2,4,0.5
743,1990,86,440,2,5,0.4
744,1990,6,5208,2,6,0.33
745,1990,11,1569,2,4,0.5
746,1990,85,3610,2,5,0.4
747,1990,68,1898,2,3,0.67
748,1990,11,1731,2,4,0.5
749,1990,85,3685,2,3,0.67
750,1990,19,2712,2,3,0.67
751,1990,85,3739,2,5,0.4
752,1990,28,2068,1,3,0.33
753,1990,87,6053,1,4,0.25
754,1990,80,5817,1,1,1.0
755,1990,73,3366,1,3,0.33
756,1990,6,5200,1,7,0.14
757,1990,35,2764,1,3,0.33
758,1990,22,1979,1,4,0.25
759,1990,13,6571,1,4,0.25
760,1990,13,6578,1,3,0.33
761,1990,13,6591,1,4,0.25
762,1990,13,6599,1,4,0.25
763,1990,88,285,1,3,0.33
764,1990,14,884,1,1,1.0
765,1990,73,3378,1,2,0.5
766,1990,22,1994,1,4,0.25
767,1990,80,5870,1,2,0.5
768,1990,51,5646,1,7,0.14
